0	11593903,11880221
1	11593903,11888426,11875571,11888571,11787851,10766403,11260912,12252970,12284649,11818336,14298593,11880221,12147113,11339864,12655762,11837914,11923535,11364999,12184520,12579183,11684391,11810254,12038406,11778377,12413391,12536530,12350476,13199488,11898367,12130044,11514434,15180066,14126686,12283923,11765543,11487415,12339434,12855465,11609219,12366454,12007625,14153909,11787765,12060149
10	13925286,13968124
1000	14308611
100000	10367914
100004	10442318
100005	10442318
100009	10442318
100018	10141802
100020	10141802
100023	10119378
100034	12739407
